fb_internal_id,fb_published_date,fb_title,fb_link,fb_description,likes,shares,comments,consumptions
301552756599088_1235851883169166,2017-01-01 14:30:01+01,Y después de la ruptura ¿qué? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/y-despues-de-la-ruptura-que/,"Tras la ruptura de pareja, nos toca pasar un duelo casi inevitable. Tenemos que aceptar ese dolor, para saber, que después, vendrá nuestro renacimiento y saldremos más fortalecidos.",1910,997,56,24309
301552756599088_1235852383169116,2017-01-01 16:30:01+01,El duelo en la infancia: un proceso que necesita comprensión,https://lamenteesmaravillosa.com/el-duelo-en-la-infancia-un-proceso-que-necesita-comprension/,En Duelo Infantil se muestra cómo acompañar a los niños en la propia elaboración del duelo ante un hecho tan real e inevitable como la muerte.,966,624,15,6152
301552756599088_1235853136502374,2017-01-01 18:30:00+01,"La bondad, si no se acompaña de acción, no sirve de nada",https://lamenteesmaravillosa.com/bondad-acompana-de-accion/,"La bondad es el auténtico símbolo de superioridad en el ser humano, sin embargo, si no va acompañada de acción no sirve de nada.",4405,2561,36,8274
301552756599088_1235854013168953,2017-01-01 20:30:00+01,"No hay blanco sin negro, no hay luz sin oscuridad - La Mente es Maravillosa",https://lamenteesmaravillosa.com/no-hay-blanco-sin-negro-no-hay-luz-sin-oscuridad/,"No hay blanco sin negro, no hay placer sin dolor. Tendemos a escoger lo que nos hace sentir mejor. Esto lo valoramos porque conocemos su polo opuesto.",2126,994,14,4450
301552756599088_1235858146501873,2017-01-01 21:59:01+01,Mi mayor tesoro es mi familia - La Mente Es Maravillosa,https://lamenteesmaravillosa.com/mi-mayor-tesoro-es-mi-familia/,"Nosotros somos reales, cometemos errores, pedimos perdón, nos peleamos, damos oportunidades, hacemos ruido, tenemos paciencia y nos queremos. Ellos son mi hogar, un rincón inmenso al que sé que siempre puedo acudir.",10659,8142,119,21393
301552756599088_1236256273128727,2017-01-02 00:01:01+01,Venganza: ojo por ojo y el mundo acabará ciego - La Mente es Maravillosa,https://lamenteesmaravillosa.com/venganza-ojo-por-ojo-y-el-mundo-acabara-ciego/,"La venganza es como el fuego, quema todo lo que toca. Apagarla con compasión es el primer paso para que de las cenizas resurja algo nuevo.",826,387,20,5465
301552756599088_1236308626456825,2017-01-02 01:55:00+01,"En este nuevo año, que salga lo malo y entre lo bueno - La Mente es Maravillosa",https://lamenteesmaravillosa.com/en-este-nuevo-ano-que-salga-lo-malo-y-entre-lo-bueno/,"Capítulo 2017. Página número 1. Un nuevo año comienza, lo que supone una excusa perfecta para favorecer la entrada de lo bueno y...",5152,3021,25,14345
301552756599088_1236637213090633,2017-01-02 14:30:00+01,"Compartiendo el delirio, el trastorno ""Folie a deux"" - La Mente es Maravillosa",https://lamenteesmaravillosa.com/compartiendo-delirio-trastorno-folie-deux-sin-terminar/,"Debido a diferentes problemas de salud mental a lo largo su vida, madre e hija se habían encerrado en una relación absorbente, sin amigos ni contactos con el exterior. Aisladas en la casa de la abuela, se habían alejado de la realidad y de las personas de su entorno, del cual sentían desconfianza po...",137,69,2,3418
301552756599088_1236638886423799,2017-01-02 16:30:00+01,¿Sabes qué son los estados alterados de conciencia? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/sabes-que-son-los-estado-alterados-de-conciencia/,¿Qué sucede cuándo una persona se encuentra en coma o en estado vegetativo? En este artículo te explicamos aspectos de los estados alterados de conciencia.,278,173,2,5968
301552756599088_1236635496424138,2017-01-02 18:30:00+01,"Hazlo, y si van a criticarte de todos modos, actúa con más ímpetu",https://lamenteesmaravillosa.com/hazlo-van-criticarte-actua-impetu/,"Hazlo, y si van a criticarte de todos modos, hazlo igualmente. No vale la pena esconderte en tus agujeros, amargarte en tus inseguridades.",5518,3091,40,10484
